# FCEUX11 i18n Glossary (v1.15 hotfix5 expanded)
# Format: source_term [tab] zh_CN [tab] zh_TW [tab] ja [tab] ko [tab] es [tab] fr [tab] de [tab] vi [tab] th [tab] hi [tab] ar
# Used by i18n_coverage.ps1 / i18n_audit.py for terminology consistency.
#
# Supported language codes:
#   en zh_CN zh_TW ja ko es fr de vi th hi ar
#
# Rules:
#   - TAS / ROM / NES / mapper / CPU / PPU / APU / FPS / RAM / PRG / CHR
#     must NOT be translated (emulator community convention).
#   - File extensions (.nes, .fm2, .fcm, .fcs) are kept verbatim.
#   - Shortcut mnemonics (&) are kept in source.
#   - See also en_keep_allowlist.txt for the full "legitimate English" whitelist.
#
# When a translator overrides a term here, they should also update
# scripts/check_simp_trad.ps1 to ensure the override doesn't violate
# the simplified/traditional glyph separation rule.

gamepad	游戏手柄	遊戲手把	ゲームパッド	게임패드	Mando	Joystick	Gamepad	Tay cầm	จอยเกม	गेमपैड	يد التحكم
save state	存档	存檔	ステートセーブ	세이브 스테이트	Estado guardado	État sauvegardé	Spielstand	Trạng thái lưu	บันทึกสถานะ	सेव स्टेट	حالة محفوظة
load state	读档	讀檔	ステートロード	로드 스테이트	Estado cargado	État chargé	Spielstand laden	Trạng thái tải	โหลดสถานะ	लोड स्टेट	تحميل حالة
quick load	快速读档	快速讀檔	クイックロード	빠른 불러오기	Carga rápida	Chargement rapide	Schnellladen	Tải nhanh	โหลดเร็ว	क्विक लोड	تحميل سريع
quick save	快速存档	快速存檔	クイックセーブ	빠른 저장	Guardado rápido	Sauvegarde rapide	Schnellspeichern	Lưu nhanh	บันทึกเร็ว	क्विक सेव	حفظ سريع
frame advance	逐帧推进	逐格推進	フレームアドバンス	프레임 어드밴스	Avance de fotograma	Avancement d'image	Einzelbildvorschub	Tiến khung hình	เลื่อนเฟรม	फ्रेम एडवांस	تقدُّم الإطار
movie	录像	錄影	ムービー	무비	Película	Film	Film	Phim	มูฟวี่	मूवी	فيلم
TAS editor	TAS 编辑器	TAS 編輯器	TAS エディタ	TAS 에디터	Editor TAS	Éditeur TAS	TAS-Editor	Trình chỉnh sửa TAS	ตัวแก้ไข TAS	TAS एडिटर	محرر TAS
debugger	调试器	除錯器	デバッガ	디버거	Depurador	Débogueur	Debugger	Trình gỡ lỗi	ดีบักเกอร์	डीबगर	مصحح أخطاء
breakpoint	断点	中斷點	ブレークポイント	브레이크포인트	Punto de ruptura	Point d'arrêt	Haltepunkt	Điểm dừng	จุดหยุด	ब्रेकपॉइं트	نقطة توقف
cheat	作弊码	作弊碼	チート	치트	Truco	Code de triche	Cheat	Mã gian lận	โกง	चीट	كود غش
Game Genie	金手指	金手指	ゲームジニー	게임 지니	Herramienta Game Genie	Game Genie	Game-Genie	Game Genie	Game Genie	Game Genie	Game Genie
sprite	精灵	精靈	スプライト	스프라이트	Sprite	Sprite	Sprite	Sprite	สไปรท์	स्प्राइट	سبرايت
nametable	名称表	名稱表	ネームテーブル	네임테이블	Tabla de nombres	Nametable	Nametabelle	Bảng tên	ตารางชื่อ	नेमटेबल	جدول الأسماء
palette	调色板	調色盤	パレット	팔레트	Paleta	Palette	Palette	Bảng màu	พาเลต	पैलेट	لوحة الألوان
ROM	ROM	ROM	ROM	ROM	ROM	ROM	ROM	ROM	ROM	ROM	ROM
NES	NES	NES	NES	NES	NES	NES	NES	NES	NES	NES	NES
mapper	映射器	映射器	マッパー	매퍼	Mapper	Mapper	Mapper	Ánh xạ	แมปเปอร์	मैपर	مخطط
CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU
PPU	PPU	PPU	PPU	PPU	PPU	PPU	PPU	PPU	PPU	PPU	PPU
APU	APU	APU	APU	APU	APU	APU	APU	APU	APU	APU	APU
RAM	RAM	RAM	RAM	RAM	RAM	RAM	RAM	RAM	RAM	RAM	RAM
PRG	PRG	PRG	PRG	PRG	PRG	PRG	PRG	PRG	PRG	PRG	PRG
CHR	CHR	CHR	CHR	CHR	CHR	CHR	CHR	CHR	CHR	CHR	CHR
FPS	FPS	FPS	FPS	FPS	FPS	FPS	FPS	FPS	FPS	FPS	FPS
FDS	FDS	FDS	FDS	FDS	FDS	FDS	FDS	FDS	FDS	FDS	FDS
Game Boy	Game Boy	Game Boy	ゲームボーイ	게임보이	Game Boy	Game Boy	Game Boy	Game Boy	Game Boy	Game Boy	Game Boy
VS System	VS System	VS System	VSシステム	VS 시스템	Sistema VS	Système VS	VS-System	Hệ thống VS	VS System	VS System	VS System
NTSC	NTSC	NTSC	NTSC	NTSC	NTSC	NTSC	NTSC	NTSC	NTSC	NTSC	NTSC
PAL	PAL	PAL	PAL	PAL	PAL	PAL	PAL	PAL	PAL	PAL	PAL
Dendy	Dendy	Dendy	Dendy	Dendy	Dendy	Dendy	Dendy	Dendy	Dendy	Dendy	Dendy
hex editor	十六进制编辑器	十六進位編輯器	16進エディタ	헥스 에디터	Editor hexadecimal	Éditeur hexadécimal	Hex-Editor	Trình chỉnh sửa thập lục phân	ตัวแก้ไขเฮกซ์	हेक्स एडिटर	محرر سداسي عشري
hex address	十六进制地址	十六進位地址	16進アドレス	헥스 주소	Dirección hexadécimal	Adresse hexadécimale	Hex-Adresse	Địa chỉ thập lục phân	ที่อยู่เฮกซ์	हेक्स एड्रेस	عنوان سداسي عشري
AVI	AVI	AVI	AVI	AVI	AVI	AVI	AVI	AVI	AVI	AVI	AVI
RIFF	RIFF	RIFF	RIFF	RIFF	RIFF	RIFF	RIFF	RIFF	RIFF	RIFF	RIFF
FCC	FCC	FCC	FCC	FCC	FCC	FCC	FCC	FCC	FCC	FCC	FCC
FilePos	FilePos	FilePos	FilePos	FilePos	FilePos	FilePos	FilePos	FilePos	FilePos	FilePos	FilePos
frame	帧	幀	フレーム	프레임	Fotograma	Image	Bild	Khung hình	เฟรม	फ्रेम	إطار
